arm,trial,scenario,lang,intent,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,session_s,error
vl-gpt41mini-semvad,1,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1290.4,0,0,,,3,17.0,
vl-gpt41mini-semvad,1,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1307.2,0,0,,,2,39.5,
vl-gpt41mini-semvad,1,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1360.9,0,0,,,3,55.4,
vl-gpt41mini-semvad,1,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1527.1,0,0,,,2,16.2,
vl-gpt41mini-semvad,1,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,0,0,0,,1431.2,1,0,,1,2,13.6,
vl-gpt41mini-semvad,1,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1294.7,0,0,,,3,19.0,
vl-native-brain,1,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,2577.3,0,0,,,5,45.8,
vl-native-brain,1,hours-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,2,2,1,0,,2365.7,0,0,,,3,20.1,
vl-native-brain,1,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,2258.1,0,0,,,3,19.2,
vl-native-brain,1,message-de-01,de_DE,take_message,3,1.0,1,,1.0,1,,,0,0,0,1,0,,1859.7,0,0,,,2,28.9,
vl-native-brain,1,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,4280.4,0,0,,,2,19.7,
vl-native-brain,1,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,0,0,0,,1912.5,1,0,17.7,1,2,14.4,
vl-native-brain,1,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,0.0,0,final_language,,0,1,1,1,0,,1976.8,0,0,,,3,21.1,
native-gpt-realtime-2,1,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,,0,0,0,1,0,,2067.4,0,0,,,6,48.2,
native-gpt-realtime-2,1,hours-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,2,2,1,0,,2735.3,0,0,,,3,22.1,
native-gpt-realtime-2,1,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1868.2,0,0,,,4,20.9,
native-gpt-realtime-2,1,message-de-01,de_DE,take_message,3,0.667,0,first_name,0.333,0,"first_name,phone",,0,0,0,1,0,,1717.8,0,0,,,2,28.5,
native-gpt-realtime-2,1,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,2619.7,0,0,,,2,22.0,
native-gpt-realtime-2,1,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1935.8,1,0,285.2,1,2,14.8,
native-gpt-realtime-2,1,codeswitch-01,de_DE,grounded_qa,1,0.0,0,final_language,1.0,1,,end_call,1,1,1,1,0,,2152.2,0,0,,,2,45.5,
vl-gpt41mini,2,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",,0,0,0,1,0,,1386.8,0,0,,,5,37.9,
vl-gpt41mini,2,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1296.2,0,0,,,3,17.1,
vl-gpt41mini,2,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1747.7,0,0,,,2,39.9,
vl-gpt41mini,2,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1245.6,0,0,,,3,55.4,
vl-gpt41mini,2,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1957.1,0,0,,,2,17.9,
vl-gpt41mini,2,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1462.8,1,0,,1,2,13.9,
vl-gpt41mini,2,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1393.0,0,0,,,3,19.5,
vl-gpt41mini-dns,2,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1450.0,0,0,,,4,63.0,
vl-gpt41mini-dns,2,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1302.4,0,0,,,3,18.2,
vl-gpt41mini-dns,2,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1400.9,0,0,,,2,40.1,
vl-gpt41mini-dns,2,message-de-01,de_DE,take_message,3,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1635.9,0,0,,,3,56.8,
vl-gpt41mini-dns,2,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,0,0,0,,1537.0,0,0,,,2,16.8,
vl-gpt41mini-dns,2,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,2650.3,1,0,,1,2,15.0,
vl-gpt41mini-dns,2,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1330.7,0,0,,,3,19.7,
